고객번호,fluctuation,Monetary,cagr,A_Monetary_실제지출,B_Monetary_실제지출,C_Monetary_실제지출,D_Monetary_실제지출,A_fluctuation,B_fluctuation,C_fluctuation,D_fluctuation,고급_fluctuation,일반_fluctuation,편의_fluctuation,선매_fluctuation,전문_fluctuation,predict
1,1.0,70605022.0,-0.0646184639875393,83227150.0,790976.0,1024424.0,0.0,1.0,-3.0,4.0,0.001,0.0,1.0,3.0,0.0,0.0,0
2,0.0,73756070.0,0.0606601598034177,99454850.0,209450.0,0.0,216460.0,0.001,0.001,0.001,0.001,0.0,3.0,3.0,-1.0,1.0,0
3,1.0,2604284.0,-0.0535756103823552,80000.0,6960.0,3078207.0,0.0,0.001,0.001,1.0,0.001,1.0,0.0,0.0,2.0,0.001,0
4,1.0,13774022.0,-0.108318651962053,14274610.0,1594066.0,825134.0,0.0,1.0,-2.0,0.0,0.001,0.0,1.0,2.0,0.0,1.0,0
5,5.0,7475480.0,-1.0,13174220.0,16000.0,0.0,46850.0,0.001,0.001,0.001,0.001,6.0,5.0,7.0,5.0,4.0,0
6,0.0,19136522.0,0.0223807692692421,15479890.0,8503046.0,523481.0,0.0,0.0,-1.0,0.001,0.001,0.0,-1.0,-1.0,0.0,-1.0,0
7,0.0,48118753.0,0.0292938017520516,71674480.0,1712491.0,339305.0,0.0,-1.0,0.0,-5.0,0.001,0.0,-2.0,-1.0,0.0,1.0,1
8,0.0,45735210.0,0.0798176614049079,61689920.0,662042.0,3990.0,0.0,-1.0,-4.0,-2.0,0.001,-1.0,0.0,-1.0,0.0,0.0,1
9,0.0,169850660.0,-0.0177567730756444,203624010.0,8940.0,299790.0,0.0,0.001,0.001,0.001,0.001,0.0,-3.0,-4.0,0.0,0.0,0
10,1.0,14253129.0,-0.0362178959334766,4228490.0,2603767.0,11694670.0,24000.0,0.0,-4.0,1.0,0.001,1.0,1.0,1.0,0.0,5.0,0
11,2.0,96486614.0,-0.2469713297387906,128144990.0,514660.0,359559.0,0.0,0.001,0.001,0.001,0.001,2.0,1.0,0.0,3.0,1.0,0
