,고객번호,sa
0,19088,M10
1,18831,M10
2,19170,M10
3,18998,M10
4,19112,M10
5,18418,M10
6,18224,M20
7,19062,M20
8,18767,M20
9,16529,M20
10,18599,M20
11,16462,M20
12,13917,M20
13,14129,M20
14,16386,M20
15,14219,M20
16,16359,M20
17,18954,M20
18,18938,M20
19,14704,M20
20,15155,M20
21,15260,M20
22,16165,M20
23,16096,M20
24,15884,M20
25,15921,M20
26,16374,M20
27,19097,M20
28,13338,M20
29,17879,M20
30,19337,M20
31,18008,M20
32,17967,M20
33,10718,M20
34,19376,M20
35,17906,M20
36,19182,M20
37,17173,M20
38,18762,M20
39,16594,M20
40,16308,M20
41,16916,M20
42,16305,M20
43,16288,M20
44,17098,M20
45,17983,M20
46,16235,M20
47,16945,M20
48,17959,M20
49,16127,M20
50,16024,M20
51,16009,M20
52,16992,M20
53,16002,M20
54,15965,M20
55,18025,M20
56,15943,M20
57,18126,M20
58,18010,M20
59,16351,M20
60,16353,M20
61,16355,M20
62,17119,M20
63,16690,M20
64,16575,M20
65,17204,M20
66,16508,M20
67,17380,M20
68,16475,M20
69,17388,M20
70,16424,M20
71,17708,M20
72,16416,M20
73,16392,M20
74,17754,M20
75,16692,M20
76,17801,M20
77,17095,M20
78,16714,M20
79,17909,M20
80,16761,M20
81,16662,M20
82,17065,M20
83,19377,M20
84,15808,M20
85,12789,M20
86,12775,M20
87,12774,M20
88,12756,M20
89,12669,M20
90,12595,M20
91,12566,M20
92,12493,M20
93,12377,M20
94,12226,M20
95,12218,M20
96,12083,M20
97,12853,M20
98,12033,M20
99,11746,M20
100,11653,M20
101,11299,M20
102,11149,M20
103,11124,M20
104,10766,M20
105,10527,M20
106,10490,M20
107,10110,M20
108,9902,M20
109,9872,M20
110,9855,M20
111,11931,M20
112,15895,M20
113,12868,M20
114,13187,M20
115,15806,M20
116,15703,M20
117,15672,M20
118,15659,M20
119,18206,M20
120,15586,M20
121,15315,M20
122,14838,M20
123,14809,M20
124,14694,M20
125,14692,M20
126,14687,M20
127,13116,M20
128,14491,M20
129,14341,M20
130,14187,M20
131,14026,M20
132,14007,M20
133,13886,M20
134,13719,M20
135,13701,M20
136,13407,M20
137,13398,M20
138,13370,M20
139,13355,M20
140,13229,M20
141,14415,M20
142,15593,M20
143,14239,M20
144,18728,M20
145,19100,M20
146,18508,M20
147,18409,M20
148,18298,M20
149,18897,M20
150,18530,M20
151,19242,M20
152,18613,M20
153,18470,M20
154,18937,M20
155,19001,M20
156,18632,M20
157,18676,M20
158,19012,M20
159,18367,M20
160,19344,M20
161,18393,M20
162,18630,M20
163,19033,M20
164,19096,M20
165,18901,M20
166,18585,M20
167,18866,M20
168,18647,M20
169,19080,M20
170,19289,M20
171,18576,M20
172,19045,M20
173,19147,M20
174,19257,M20
175,19089,M20
176,19095,M20
177,19296,M20
178,19188,M20
179,19303,M20
180,19046,M20
181,19158,M20
182,13915,M30
183,13916,M30
184,13912,M30
185,18250,M30
186,13961,M30
187,19006,M30
188,14122,M30
189,14140,M30
190,14177,M30
191,14189,M30
192,14199,M30
193,18975,M30
194,14232,M30
195,14236,M30
196,14281,M30
197,13918,M30
198,14169,M30
199,13759,M30
200,13880,M30
201,12998,M30
202,13080,M30
203,13082,M30
204,19076,M30
205,13143,M30
206,13184,M30
207,19068,M30
208,13233,M30
209,19056,M30
210,13354,M30
