°í°´¹øÈ£,A¹æ¹®È½¼ö,B¹æ¹®È½¼ö,C¹æ¹®È½¼ö,D¹æ¹®È½¼ö,½Å±Ô°í°´,¸íÇ°±¸¸ÅÀÚ
1,318.0,17.0,25.0,0.0,1.0,2.0
2,397.0,3.0,0.0,5.0,1.0,2.0
3,1.0,1.0,432.0,0.0,1.0,0.0
4,295.0,27.0,52.0,0.0,1.0,0.0
5,300.0,1.0,0.0,4.0,1.0,2.0
6,265.0,347.0,11.0,0.0,1.0,2.0
7,376.0,28.0,10.0,0.0,1.0,2.0
8,520.0,7.0,1.0,0.0,1.0,2.0
9,446.0,1.0,15.0,0.0,1.0,2.0
10,75.0,53.0,577.0,1.0,1.0,2.0
11,285.0,10.0,16.0,0.0,1.0,2.0
12,58.0,131.0,0.0,82.0,1.0,0.0
13,117.0,372.0,41.0,0.0,1.0,0.0
14,410.0,37.0,109.0,0.0,1.0,2.0
15,186.0,387.0,24.0,0.0,1.0,0.0
16,265.0,11.0,1.0,0.0,1.0,2.0
17,313.0,12.0,35.0,0.0,1.0,2.0
18,318.0,6.0,14.0,0.0,1.0,2.0
19,237.0,2.0,1.0,1.0,1.0,2.0
20,390.0,1.0,5.0,0.0,1.0,0.0
21,3.0,463.0,1.0,0.0,1.0,0.0
22,342.0,0.0,0.0,0.0,1.0,2.0
23,306.0,6.0,27.0,0.0,1.0,2.0
24,16.0,287.0,0.0,1.0,1.0,2.0
25,274.0,9.0,20.0,0.0,1.0,2.0
26,406.0,21.0,2.0,1.0,1.0,2.0
27,301.0,11.0,6.0,0.0,1.0,2.0
28,26.0,376.0,1.0,0.0,1.0,0.0
29,353.0,49.0,16.0,0.0,1.0,2.0
30,367.0,1.0,94.0,0.0,1.0,2.0
31,403.0,1.0,1.0,2.0,1.0,0.0
32,308.0,444.0,0.0,0.0,1.0,0.0
33,11.0,326.0,69.0,0.0,1.0,0.0
34,302.0,1.0,3.0,0.0,1.0,0.0
35,207.0,59.0,0.0,1.0,1.0,2.0
36,294.0,6.0,12.0,0.0,1.0,0.0
37,487.0,21.0,1.0,0.0,1.0,2.0
38,172.0,372.0,188.0,0.0,1.0,0.0
39,369.0,0.0,5.0,0.0,1.0,2.0
40,315.0,59.0,39.0,0.0,1.0,2.0
41,326.0,57.0,17.0,0.0,1.0,2.0
42,15.0,392.0,22.0,0.0,1.0,0.0
43,8.0,314.0,2.0,0.0,1.0,0.0
44,341.0,28.0,190.0,0.0,1.0,2.0
45,398.0,51.0,2.0,0.0,1.0,2.0
46,401.0,7.0,1.0,0.0,1.0,2.0
47,74.0,280.0,5.0,0.0,1.0,2.0
48,298.0,19.0,75.0,0.0,1.0,2.0
49,381.0,2.0,1.0,0.0,1.0,2.0
50,465.0,52.0,78.0,0.0,1.0,2.0
51,320.0,174.0,0.0,13.0,1.0,0.0
52,543.0,1.0,29.0,0.0,1.0,2.0
53,313.0,38.0,132.0,0.0,1.0,2.0
54,407.0,1.0,0.0,1.0,1.0,2.0
55,1.0,10.0,417.0,0.0,1.0,0.0
56,435.0,1.0,3.0,0.0,1.0,2.0
57,2.0,4.0,441.0,0.0,1.0,2.0
58,350.0,1.0,0.0,0.0,1.0,2.0
59,360.0,19.0,1.0,0.0,1.0,2.0
60,115.0,482.0,6.0,0.0,1.0,0.0
61,208.0,42.0,147.0,0.0,1.0,2.0
62,338.0,85.0,7.0,0.0,1.0,2.0
63,364.0,1.0,1.0,0.0,1.0,0.0
64,2.0,378.0,1.0,0.0,1.0,0.0
65,313.0,62.0,2.0,0.0,1.0,2.0
66,207.0,261.0,3.0,0.0,1.0,0.0
67,5.0,368.0,2.0,0.0,1.0,0.0
68,200.0,501.0,1.0,0.0,1.0,2.0
