고객번호,fluctuation,구매금액
1,1.0,71940032
2,0.0,74036940
3,0.0,2486049
4,-1.0,12956553
5,4.0,10620810
6,-1.0,17784434
7,0.0,55434791
8,0.0,44352982
9,-1.0,162118480
10,1.0,14624277
11,-1.0,105431359
12,0.0,3260570
13,0.0,13222630
14,-1.0,28967251
15,-1.0,22134327
16,-2.0,7867275
17,0.0,95071459
18,6.0,78174254
19,0.0,31161650
20,0.0,17299930
21,-1.0,17171669
22,1.0,121268130
23,0.0,62103551
24,1.0,8822246
25,-3.0,28234783
26,1.0,107119843
27,1.0,42153056
28,-1.0,5920638
29,0.0,64173144
30,-2.0,77625701
31,0.0,10007400
32,-1.0,13673014
33,1.0,7634904
34,0.0,12735550
35,-1.0,32039183
36,0.0,34887633
37,-3.0,47234440
38,0.0,16222572
39,0.0,174778958
40,-1.0,17718766
41,0.0,14051010
42,-1.0,10932420
43,1.0,5877530
44,1.0,72480210
45,0.0,166652671
46,2.0,97141010
47,2.0,18025325
48,-1.0,64123070
49,1.0,57637564
50,1.0,19450230
51,1.0,18312550
52,0.0,30594700
53,0.0,46968287
54,1.0,8143770
55,1.0,5958274
56,0.0,76596163
57,2.0,7803620
58,1.0,19050970
59,0.0,20456048
60,-1.0,19534074
61,2.0,20215895
62,-1.0,16468994
63,0.0,4528110
64,1.0,3461345
65,-1.0,15731606
66,1.0,13912261
67,-1.0,7618049
68,1.0,254883135
69,-1.0,11264433
70,2.0,24735940
71,1.0,3645507
72,0.0,7002845
73,0.0,182516030
74,1.0,28641810
75,1.0,3889052
76,-1.0,9113244
77,0.0,25573754
78,-1.0,69352903
79,0.0,12013572
80,-1.0,7485791
81,0.0,48634778
82,-1.0,98499662
83,-1.0,81960039
84,0.0,55453870
85,-2.0,9035670
86,-1.0,27151325
87,5.0,42345892
88,0.0,39364498
89,-1.0,12473642
90,0.0,42988732
91,0.0,14433158
92,0.0,38509834
93,-1.0,87252140
94,-5.0,26653057
95,1.0,5813621
96,2.0,26637230
97,0.0,813179394
98,0.0,17354681
99,0.0,189708863
100,1.0,25393763
101,2.0,5013360
102,1.0,95671311
103,1.0,3532033
104,0.0,12007228
105,0.0,16549369
106,0.0,46832790
107,-2.0,94187738
108,0.0,10259470
109,3.0,7173643
110,-1.0,21930914
111,0.0,3923935
112,0.0,51819431
113,0.0,78689853
114,-1.0,20803163
115,-3.0,54207958
116,-1.0,6299911
117,1.0,35706692
118,-1.0,78811090
119,-1.0,56128438
120,0.0,183640576
121,2.0,13674509
122,-1.0,28927818
123,1.0,8235805
124,0.0,29072370
125,0.0,12714390
126,-1.0,31583244
127,2.0,5249014
128,1.0,7290604
129,-1.0,5032389
130,2.0,41454317
131,0.0,24922991
132,0.0,10494385
133,-1.0,16138076
134,-1.0,74162681
135,-2.0,10645188
136,-5.0,16492030
137,0.0,61061419
138,0.0,38196730
139,1.0,38336244
140,0.0,185043356
141,0.0,3851365
142,0.0,543040
143,-1.0,5197753
144,3.0,61102298
145,-1.0,95599559
146,1.0,81856330
147,0.0,79214798
148,-1.0,4140981
149,-1.0,21341354
150,0.0,22275086
151,0.0,59147288
152,0.0,24756140
153,0.0,9283671
154,4.0,41008844
155,0.0,40052861
156,0.0,121069530
157,0.0,9164396
158,-2.0,8591988
159,-2.0,101771850
160,0.0,15691855
161,1.0,142096822
162,-1.0,56807339
163,1.0,8217776
164,1.0,80250561
165,0.0,30067011
166,0.0,24732259
167,1.0,33736340
168,-2.0,63288238
169,2.0,5180053
170,-1.0,9951572
171,-1.0,20116675
172,-1.0,16680957
173,-1.0,9386923
174,1.0,425200
175,-1.0,24725538
176,-1.0,6523133
177,1.0,71290477
178,1.0,14997120
179,0.0,38007918
180,-1.0,40094780
181,-1.0,43419260
182,-1.0,60001343
183,1.0,10840453
184,1.0,32960227
185,-4.0,9021348
186,2.0,67705744
187,2.0,15441294
188,1.0,10750979
189,0.0,82149110
190,0.0,37801200
191,1.0,56576540
192,-3.0,27099598
193,-1.0,7467794
194,0.0,11341292
195,0.0,4725219
196,0.0,23616233
197,-3.0,58605078
198,-2.0,10073302
199,-2.0,14448180
200,0.0,10817690
201,1.0,92134964
202,-1.0,63881632
203,0.0,5342002
204,1.0,17242011
205,3.0,20612937
206,1.0,11549663
207,0.0,6045075
208,4.0,69343000
209,0.0,15186868
210,-1.0,4454776
211,0.0,12835754
212,0.0,16857886
213,0.0,31696977
214,-1.0,14712170
215,-1.0,10008505
216,1.0,9216576
217,-1.0,8896290
218,-1.0,136155427
219,0.0,39303212
220,-1.0,13705791
221,1.0,8131230
222,1.0,53628120
223,-3.0,102570450
224,1.0,129252644
225,0.0,127777507
226,-1.0,8633068
227,1.0,4799557
228,0.0,7808485
229,-1.0,53308980
230,0.0,10989800
231,1.0,8642389
232,-1.0,7489316
233,-3.0,15898366
234,-1.0,17827868
235,0.0,34814407
236,1.0,5338851
237,0.0,42327887
238,-3.0,14231420
239,0.0,118965024
240,3.0,15447030
241,-1.0,53639530
242,-2.0,6939055
