고객번호,fluctuation,f_커리어,f_소형가전,f_셔츠,f_모피피혁,f_시티웨어,f_골프용품,f_통신컴퓨터,f_주방가전,f_트래디셔널,f_준보석시계,f_디자이너,f_대형가전,f_악기,f_보석,f_남성 트랜디,f_축산가공,f_남성정장,f_명품,Monetary,A_Monetary_실제지출,B_Monetary_실제지출,C_Monetary_실제지출,D_Monetary_실제지출,pred
1,1.0,-4.0,0.0001,7.0,0.0,5.0,3.0,0.0,-8.0,-3.0,0.0,-5.0,0.0,0.0001,0.0001,0.0,5.0,6.0,0.0,70605022.0,83227150.0,790976.0,1024424.0,0.0,0
2,0.0,-1.0,0.0001,0.0,2.0,-2.0,0.0,0.0001,8.0,4.0,0.0001,4.0,-6.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,73756070.0,99454850.0,209450.0,0.0,216460.0,0
3,1.0,0.0001,0.0001,4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2604284.0,80000.0,6960.0,3078207.0,0.0,0
4,1.0,1.0,0.0001,2.0,4.0,2.0,4.0,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,-5.0,-5.0,-1.0,-4.0,0.0001,13774022.0,14274610.0,1594066.0,825134.0,0.0,0
5,5.0,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,3.0,0.0001,0.0001,0.0,9.0,0.0001,3.0,7475480.0,13174220.0,16000.0,0.0,46850.0,1
6,0.0,4.0,0.0001,-5.0,0.0,0.0,0.0001,0.0001,0.0001,-4.0,0.0001,0.0,0.0001,0.0001,0.0001,3.0,-4.0,-5.0,-2.0,19136522.0,15479890.0,8503046.0,523481.0,0.0,0
7,0.0,0.0,0.0001,0.0,8.0,-2.0,2.0,0.0001,-2.0,5.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,-3.0,0.0,-4.0,48118753.0,71674480.0,1712491.0,339305.0,0.0,1
8,0.0,0.0001,0.0,0.0001,0.0001,-3.0,0.0001,0.0,3.0,-6.0,-5.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,5.0,0.0,45735210.0,61689920.0,662042.0,3990.0,0.0,0
9,0.0,5.0,0.0001,0.0001,9.0,0.0,0.0,8.0,-9.0,4.0,0.0001,8.0,0.0,0.0001,0.0,0.0001,-2.0,0.0001,-5.0,169850660.0,203624010.0,8940.0,299790.0,0.0,0
10,1.0,0.0001,0.0001,-2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,4.0,14253129.0,4228490.0,2603767.0,11694670.0,24000.0,0
11,2.0,3.0,6.0,0.0001,0.0,0.0001,0.0,4.0,8.0,0.0001,0.0001,7.0,0.0001,0.0001,0.0,0.0001,-2.0,0.0001,0.0,96486614.0,128144990.0,514660.0,359559.0,0.0,0
12,-4.0,0.0001,0.0001,-7.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-8.0,0.0001,4460822.0,4189590.0,2043377.0,0.0,177000.0,1
13,-1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0,4.0,-1.0,0.0001,0.0001,14034343.0,6669080.0,10416706.0,624060.0,0.0,0
14,1.0,-2.0,0.0,0.0001,0.0,1.0,5.0,0.0001,0.0001,0.0,0.0001,4.0,0.0,0.0001,0.0001,0.0,5.0,0.0001,-3.0,27895756.0,29826400.0,2196398.0,2544938.0,0.0,0
15,2.0,0.0001,0.0001,0.0001,9.0,7.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,19835577.0,19921950.0,4773697.0,419597.0,0.0,0
