,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,분류,고급/일반,내구/준내구/비내구,편의/선매/전문
0,A,1,101,A010101,일용잡화,위생세제,일용잡화,일반,내구,편의
1,A,1,101,A010102,일용잡화,휴지류,일용잡화,일반,내구,편의
2,A,1,101,A010103,일용잡화,뷰티상품,일용잡화,일반,내구,편의
3,A,1,101,A010104,일용잡화,일용잡화,일용잡화,일반,내구,편의
4,A,1,101,A010105,일용잡화,세트상품,일용잡화,일반,내구,편의
5,A,1,101,A010106,일용잡화,단기행사,일용잡화,일반,내구,편의
6,B,13,1304,B130401,담배,국산담배,일용잡화,일반,내구,편의
7,B,13,1304,B130402,담배,수입담배,일용잡화,일반,내구,편의
8,B,18,1801,B180101,기저귀,아기기저귀,일용잡화,일반,내구,편의
9,B,18,1801,B180102,기저귀,성인용기저귀,일용잡화,일반,내구,편의
10,B,18,1802,B180201,화장지,롤티슈,일용잡화,일반,내구,편의
11,B,18,1802,B180202,화장지,미용티슈,일용잡화,일반,내구,편의
12,B,18,1802,B180203,화장지,키친타올,일용잡화,일반,내구,편의
13,B,18,1802,B180204,화장지,물티슈,일용잡화,일반,내구,편의
14,B,18,1802,B180205,화장지,가정용화장지,일용잡화,일반,내구,편의
15,B,18,1802,B180206,화장지,업소용화장지,일용잡화,일반,내구,편의
16,B,18,1802,B180207,화장지,온라인 화장지,일용잡화,일반,내구,편의
17,B,18,1803,B180301,생리대,생리대,일용잡화,일반,내구,편의
18,B,18,1803,B180302,생리대,삽입형생리대,일용잡화,일반,내구,편의
19,B,18,1803,B180303,생리대,팬티라이너,일용잡화,일반,내구,편의
20,B,18,1808,B180801,키친타올,키친타올,일용잡화,일반,내구,편의
21,B,18,1808,B180802,키친타올,냅킨,일용잡화,일반,내구,편의
22,B,18,1809,B180901,물티슈,유아물티슈,일용잡화,일반,내구,편의
23,B,18,1809,B180902,물티슈,일반물티슈,일용잡화,일반,내구,편의
24,B,18,1809,B180903,물티슈,기능성물티슈,일용잡화,일반,내구,편의
25,B,18,1809,B180904,물티슈,온라인물티슈,일용잡화,일반,내구,편의
26,B,18,1810,B181001,미용티슈,미용티슈,일용잡화,일반,내구,편의
27,B,18,1810,B181002,미용티슈,여행용미용티슈,일용잡화,일반,내구,편의
28,B,75,7504,B750401,담배,국산담배,일용잡화,일반,내구,편의
29,B,75,7504,B750402,담배,수입담배,일용잡화,일반,내구,편의
30,C,13,1303,C130301,담배,수입담배,일용잡화,일반,내구,편의
31,C,13,1303,C130302,담배,국산담배,일용잡화,일반,내구,편의
32,C,16,1602,C160201,화장지,롤티슈,일용잡화,일반,내구,편의
33,C,16,1602,C160202,화장지,각티슈/미용티슈,일용잡화,일반,내구,편의
34,C,16,1602,C160203,화장지,물티슈,일용잡화,일반,내구,편의
35,C,16,1602,C160204,화장지,키친타올,일용잡화,일반,내구,편의
36,C,16,1602,C160205,화장지,냅킨,일용잡화,일반,내구,편의
37,C,16,1602,C160206,화장지,유아용물티슈,일용잡화,일반,내구,편의
38,D,2,205,D020501,여성용품,생리대,일용잡화,일반,내구,편의
